中華電_漲,台灣大_漲,亞太電_漲,遠傳_漲
0,0,1,0
1,1,0,1
0,1,0,1
1,1,1,1
1,1,1,1
0,0,0,0
0,0,0,0
1,0,0,0
0,1,0,0
0,0,0,0
1,0,1,1
